timestamp,container_name,service_name,cpu_percent,memory_usage_mb,memory_limit_mb,memory_percent,network_rx_mb,network_tx_mb,pids
2026-01-30T03:45:34.198541,docker-compose-edge-router-1,edge-router,0.06,7.059,7799.808,0.09,0,0,31
2026-01-30T03:45:34.198541,docker-compose-carts-1,carts,0.16,379.4,7799.808,4.86,0,0,84
2026-01-30T03:45:34.198541,docker-compose-catalogue-1,catalogue,0,9.75,7799.808,0.12,0,0,30
2026-01-30T03:45:34.198541,docker-compose-carts-db-1,carts-db,0.55,55.4,7799.808,0.71,0,0,21
2026-01-30T03:45:34.198541,docker-compose-orders-db-1,orders-db,0.56,32.59,7799.808,0.42,0,0,21
2026-01-30T03:45:34.198541,docker-compose-front-end-1,front-end,0,65.53,7799.808,0.84,0,0,21
2026-01-30T03:45:34.198541,docker-compose-user-db-1,user-db,0.54,35.53,7799.808,0.46,0,0,18
2026-01-30T03:45:34.198541,docker-compose-orders-1,orders,0.15,367.5,7799.808,4.71,0,0,84
2026-01-30T03:45:34.198541,docker-compose-catalogue-db-1,catalogue-db,0.08,195.9,7799.808,2.51,0,0,27
2026-01-30T03:45:34.198541,docker-compose-rabbitmq-1,rabbitmq,4.64,111.6,7799.808,1.43,0,0,417
2026-01-30T03:45:34.198541,docker-compose-queue-master-1,queue-master,0.12,657.7,7799.808,8.43,0,0,51
2026-01-30T03:45:34.198541,docker-compose-shipping-1,shipping,0.18,353.7,7799.808,4.53,0,0,82
2026-01-30T03:45:34.198541,docker-compose-payment-1,payment,0.29,10.09,7799.808,0.13,0,0,30
2026-01-30T03:45:34.198541,docker-compose-user-1,user,0.01,9.543,7799.808,0.12,0,0,30
2026-01-30T03:45:41.879693,docker-compose-edge-router-1,edge-router,0.04,7.059,7799.808,0.09,0,0,31
2026-01-30T03:45:41.879693,docker-compose-carts-1,carts,0.21,379.7,7799.808,4.87,0,0,84
2026-01-30T03:45:41.879693,docker-compose-catalogue-1,catalogue,0,9.75,7799.808,0.12,0,0,30
2026-01-30T03:45:41.879693,docker-compose-carts-db-1,carts-db,0.43,55.9,7799.808,0.72,0,0,21
2026-01-30T03:45:41.879693,docker-compose-orders-db-1,orders-db,0.47,32.11,7799.808,0.41,0,0,21
2026-01-30T03:45:41.879693,docker-compose-front-end-1,front-end,0,65.67,7799.808,0.84,0,0,21
2026-01-30T03:45:41.879693,docker-compose-user-db-1,user-db,0.64,35.53,7799.808,0.46,0,0,18
2026-01-30T03:45:41.879693,docker-compose-orders-1,orders,0.18,367.5,7799.808,4.71,0,0,84
2026-01-30T03:45:41.879693,docker-compose-catalogue-db-1,catalogue-db,0.1,195.9,7799.808,2.51,0,0,27
2026-01-30T03:45:41.879693,docker-compose-rabbitmq-1,rabbitmq,4.14,112,7799.808,1.44,0,0,417
2026-01-30T03:45:41.879693,docker-compose-queue-master-1,queue-master,0.21,657.7,7799.808,8.43,0,0,51
2026-01-30T03:45:41.879693,docker-compose-shipping-1,shipping,0.17,353.7,7799.808,4.53,0,0,82
2026-01-30T03:45:41.879693,docker-compose-payment-1,payment,0,9.848,7799.808,0.13,0,0,30
2026-01-30T03:45:41.879693,docker-compose-user-1,user,0.07,9.543,7799.808,0.12,0,0,30
2026-01-30T03:45:49.373018,docker-compose-edge-router-1,edge-router,0.05,7.059,7799.808,0.09,0,0,31
2026-01-30T03:45:49.373018,docker-compose-carts-1,carts,0.16,379.4,7799.808,4.86,0,0,84
2026-01-30T03:45:49.373018,docker-compose-catalogue-1,catalogue,0,9.75,7799.808,0.12,0,0,30
2026-01-30T03:45:49.373018,docker-compose-carts-db-1,carts-db,0.36,55.25,7799.808,0.71,0,0,21
2026-01-30T03:45:49.373018,docker-compose-orders-db-1,orders-db,0.37,32.22,7799.808,0.41,0,0,21
2026-01-30T03:45:49.373018,docker-compose-front-end-1,front-end,0,65.75,7799.808,0.84,0,0,21
2026-01-30T03:45:49.373018,docker-compose-user-db-1,user-db,0.55,35.38,7799.808,0.45,0,0,18
2026-01-30T03:45:49.373018,docker-compose-orders-1,orders,0.16,367.5,7799.808,4.71,0,0,84
2026-01-30T03:45:49.373018,docker-compose-catalogue-db-1,catalogue-db,0.11,195.9,7799.808,2.51,0,0,27
2026-01-30T03:45:49.373018,docker-compose-rabbitmq-1,rabbitmq,4.23,111.8,7799.808,1.43,0,0,417
2026-01-30T03:45:49.373018,docker-compose-queue-master-1,queue-master,0.16,657.7,7799.808,8.43,0,0,51
2026-01-30T03:45:49.373018,docker-compose-shipping-1,shipping,0.16,353.7,7799.808,4.53,0,0,82
2026-01-30T03:45:49.373018,docker-compose-payment-1,payment,0,9.852,7799.808,0.13,0,0,30
2026-01-30T03:45:49.373018,docker-compose-user-1,user,0,9.543,7799.808,0.12,0,0,30
2026-01-30T03:45:57.045605,docker-compose-edge-router-1,edge-router,0.37,7.059,7799.808,0.09,0,0,31
2026-01-30T03:45:57.045605,docker-compose-carts-1,carts,0.5,379.7,7799.808,4.87,0,0,84
2026-01-30T03:45:57.045605,docker-compose-catalogue-1,catalogue,0,9.75,7799.808,0.12,0,0,30
2026-01-30T03:45:57.045605,docker-compose-carts-db-1,carts-db,0.41,55.26,7799.808,0.71,0,0,21
2026-01-30T03:45:57.045605,docker-compose-orders-db-1,orders-db,0.35,32.23,7799.808,0.41,0,0,21
2026-01-30T03:45:57.045605,docker-compose-front-end-1,front-end,0,64.95,7799.808,0.83,0,0,21
2026-01-30T03:45:57.045605,docker-compose-user-db-1,user-db,0.51,35.39,7799.808,0.45,0,0,18
2026-01-30T03:45:57.045605,docker-compose-orders-1,orders,0.15,367.5,7799.808,4.71,0,0,84
2026-01-30T03:45:57.045605,docker-compose-catalogue-db-1,catalogue-db,0.07,195.9,7799.808,2.51,0,0,27
2026-01-30T03:45:57.045605,docker-compose-rabbitmq-1,rabbitmq,4.46,111.2,7799.808,1.43,0,0,417
2026-01-30T03:45:57.045605,docker-compose-queue-master-1,queue-master,0.17,657.7,7799.808,8.43,0,0,51
2026-01-30T03:45:57.045605,docker-compose-shipping-1,shipping,0.65,354,7799.808,4.54,0,0,82
2026-01-30T03:45:57.045605,docker-compose-payment-1,payment,0,9.848,7799.808,0.13,0,0,30
2026-01-30T03:45:57.045605,docker-compose-user-1,user,0.23,9.543,7799.808,0.12,0,0,30
2026-01-30T03:46:04.730733,docker-compose-edge-router-1,edge-router,0.03,7.059,7799.808,0.09,0,0,31
2026-01-30T03:46:04.730733,docker-compose-carts-1,carts,0.18,379.4,7799.808,4.86,0,0,84
2026-01-30T03:46:04.730733,docker-compose-catalogue-1,catalogue,0,9.75,7799.808,0.12,0,0,30
2026-01-30T03:46:04.730733,docker-compose-carts-db-1,carts-db,0.42,55.5,7799.808,0.71,0,0,21
2026-01-30T03:46:04.730733,docker-compose-orders-db-1,orders-db,0.44,32.23,7799.808,0.41,0,0,21
2026-01-30T03:46:04.730733,docker-compose-front-end-1,front-end,0.12,65.35,7799.808,0.84,0,0,21
2026-01-30T03:46:04.730733,docker-compose-user-db-1,user-db,0.63,35.39,7799.808,0.45,0,0,18
2026-01-30T03:46:04.730733,docker-compose-orders-1,orders,0.14,367.5,7799.808,4.71,0,0,84
2026-01-30T03:46:04.730733,docker-compose-catalogue-db-1,catalogue-db,0.09,195.9,7799.808,2.51,0,0,27
2026-01-30T03:46:04.730733,docker-compose-rabbitmq-1,rabbitmq,3.63,112.5,7799.808,1.44,0,0,417
2026-01-30T03:46:04.730733,docker-compose-queue-master-1,queue-master,0.13,657.7,7799.808,8.43,0,0,51
2026-01-30T03:46:04.730733,docker-compose-shipping-1,shipping,0.16,353.7,7799.808,4.53,0,0,82
2026-01-30T03:46:04.730733,docker-compose-payment-1,payment,0,9.848,7799.808,0.13,0,0,30
2026-01-30T03:46:04.730733,docker-compose-user-1,user,0,9.543,7799.808,0.12,0,0,30
2026-01-30T03:46:12.394878,docker-compose-edge-router-1,edge-router,0.06,7.059,7799.808,0.09,0,0,31
2026-01-30T03:46:12.394878,docker-compose-carts-1,carts,0.19,379.4,7799.808,4.86,0,0,84
2026-01-30T03:46:12.394878,docker-compose-catalogue-1,catalogue,0,9.75,7799.808,0.12,0,0,30
2026-01-30T03:46:12.394878,docker-compose-carts-db-1,carts-db,0.44,55.25,7799.808,0.71,0,0,21
2026-01-30T03:46:12.394878,docker-compose-orders-db-1,orders-db,0.44,31.98,7799.808,0.41,0,0,21
2026-01-30T03:46:12.394878,docker-compose-front-end-1,front-end,0,65.19,7799.808,0.84,0,0,21
2026-01-30T03:46:12.394878,docker-compose-user-db-1,user-db,0.64,35.39,7799.808,0.45,0,0,18
2026-01-30T03:46:12.394878,docker-compose-orders-1,orders,0.19,367.5,7799.808,4.71,0,0,84
2026-01-30T03:46:12.394878,docker-compose-catalogue-db-1,catalogue-db,0.11,195.9,7799.808,2.51,0,0,27
2026-01-30T03:46:12.394878,docker-compose-rabbitmq-1,rabbitmq,3.29,114.7,7799.808,1.47,0,0,417
2026-01-30T03:46:12.394878,docker-compose-queue-master-1,queue-master,0.18,657.7,7799.808,8.43,0,0,51
2026-01-30T03:46:12.394878,docker-compose-shipping-1,shipping,0.51,353.9,7799.808,4.54,0,0,82
2026-01-30T03:46:12.394878,docker-compose-payment-1,payment,0,9.848,7799.808,0.13,0,0,30
2026-01-30T03:46:12.394878,docker-compose-user-1,user,0.74,9.797,7799.808,0.13,0,0,30
2026-01-30T03:46:19.339207,docker-compose-edge-router-1,edge-router,0.02,7.059,7799.808,0.09,0,0,31
2026-01-30T03:46:19.339207,docker-compose-carts-1,carts,0.13,379.4,7799.808,4.86,0,0,84
2026-01-30T03:46:19.339207,docker-compose-catalogue-1,catalogue,0,9.75,7799.808,0.12,0,0,30
2026-01-30T03:46:19.339207,docker-compose-carts-db-1,carts-db,0.37,55.26,7799.808,0.71,0,0,21
2026-01-30T03:46:19.339207,docker-compose-orders-db-1,orders-db,0.4,32.23,7799.808,0.41,0,0,21
2026-01-30T03:46:19.339207,docker-compose-front-end-1,front-end,0,65.28,7799.808,0.84,0,0,21
2026-01-30T03:46:19.339207,docker-compose-user-db-1,user-db,0.5,35.39,7799.808,0.45,0,0,18
2026-01-30T03:46:19.339207,docker-compose-orders-1,orders,0.14,367.5,7799.808,4.71,0,0,84
2026-01-30T03:46:19.339207,docker-compose-catalogue-db-1,catalogue-db,0.07,195.9,7799.808,2.51,0,0,27
2026-01-30T03:46:19.339207,docker-compose-rabbitmq-1,rabbitmq,3.22,114.4,7799.808,1.47,0,0,417
2026-01-30T03:46:19.339207,docker-compose-queue-master-1,queue-master,0.14,657.7,7799.808,8.43,0,0,51
2026-01-30T03:46:19.339207,docker-compose-shipping-1,shipping,0.15,353.7,7799.808,4.53,0,0,82
2026-01-30T03:46:19.339207,docker-compose-payment-1,payment,0.12,9.848,7799.808,0.13,0,0,30
2026-01-30T03:46:19.339207,docker-compose-user-1,user,0,9.543,7799.808,0.12,0,0,30
2026-01-30T03:46:27.013015,docker-compose-edge-router-1,edge-router,0.07,7.059,7799.808,0.09,0,0,31
2026-01-30T03:46:27.013015,docker-compose-carts-1,carts,0.27,379.5,7799.808,4.86,0,0,84
2026-01-30T03:46:27.013015,docker-compose-catalogue-1,catalogue,0,9.746,7799.808,0.12,0,0,30
2026-01-30T03:46:27.013015,docker-compose-carts-db-1,carts-db,0.5,55.26,7799.808,0.71,0,0,21
2026-01-30T03:46:27.013015,docker-compose-orders-db-1,orders-db,0.46,32.23,7799.808,0.41,0,0,21
2026-01-30T03:46:27.013015,docker-compose-front-end-1,front-end,0,65.4,7799.808,0.84,0,0,21
2026-01-30T03:46:27.013015,docker-compose-user-db-1,user-db,0.6,35.64,7799.808,0.46,0,0,18
2026-01-30T03:46:27.013015,docker-compose-orders-1,orders,0.15,367.5,7799.808,4.71,0,0,84
2026-01-30T03:46:27.013015,docker-compose-catalogue-db-1,catalogue-db,0.09,195.9,7799.808,2.51,0,0,27
2026-01-30T03:46:27.013015,docker-compose-rabbitmq-1,rabbitmq,6.15,111.5,7799.808,1.43,0,0,417
2026-01-30T03:46:27.013015,docker-compose-queue-master-1,queue-master,0.19,657.7,7799.808,8.43,0,0,51
2026-01-30T03:46:27.013015,docker-compose-shipping-1,shipping,0.54,354,7799.808,4.54,0,0,82
2026-01-30T03:46:27.013015,docker-compose-payment-1,payment,0,10.1,7799.808,0.13,0,0,30
2026-01-30T03:46:27.013015,docker-compose-user-1,user,0.1,9.543,7799.808,0.12,0,0,30
2026-01-30T03:46:34.671403,docker-compose-edge-router-1,edge-router,0.05,7.059,7799.808,0.09,0,0,31
2026-01-30T03:46:34.671403,docker-compose-carts-1,carts,0.14,379.4,7799.808,4.86,0,0,84
2026-01-30T03:46:34.671403,docker-compose-catalogue-1,catalogue,0,9.75,7799.808,0.12,0,0,30
2026-01-30T03:46:34.671403,docker-compose-carts-db-1,carts-db,0.37,55.26,7799.808,0.71,0,0,21
2026-01-30T03:46:34.671403,docker-compose-orders-db-1,orders-db,0.37,32.22,7799.808,0.41,0,0,21
2026-01-30T03:46:34.671403,docker-compose-front-end-1,front-end,0.11,65.79,7799.808,0.84,0,0,21
2026-01-30T03:46:34.671403,docker-compose-user-db-1,user-db,0.53,35.39,7799.808,0.45,0,0,18
2026-01-30T03:46:34.671403,docker-compose-orders-1,orders,0.16,367.5,7799.808,4.71,0,0,84
2026-01-30T03:46:34.671403,docker-compose-catalogue-db-1,catalogue-db,0.09,195.9,7799.808,2.51,0,0,27
2026-01-30T03:46:34.671403,docker-compose-rabbitmq-1,rabbitmq,4.61,111.5,7799.808,1.43,0,0,417
2026-01-30T03:46:34.671403,docker-compose-queue-master-1,queue-master,0.15,657.7,7799.808,8.43,0,0,51
2026-01-30T03:46:34.671403,docker-compose-shipping-1,shipping,0.14,353.7,7799.808,4.53,0,0,82
2026-01-30T03:46:34.671403,docker-compose-payment-1,payment,0,9.852,7799.808,0.13,0,0,30
2026-01-30T03:46:34.671403,docker-compose-user-1,user,0,9.559,7799.808,0.12,0,0,30
2026-01-30T03:46:42.366235,docker-compose-edge-router-1,edge-router,0.04,7.059,7799.808,0.09,0,0,31
2026-01-30T03:46:42.366235,docker-compose-carts-1,carts,0.15,379.4,7799.808,4.86,0,0,84
2026-01-30T03:46:42.366235,docker-compose-catalogue-1,catalogue,0,9.75,7799.808,0.12,0,0,30
2026-01-30T03:46:42.366235,docker-compose-carts-db-1,carts-db,0.42,55.26,7799.808,0.71,0,0,21
2026-01-30T03:46:42.366235,docker-compose-orders-db-1,orders-db,0.47,31.98,7799.808,0.41,0,0,21
2026-01-30T03:46:42.366235,docker-compose-front-end-1,front-end,0,65.63,7799.808,0.84,0,0,21
2026-01-30T03:46:42.366235,docker-compose-user-db-1,user-db,0.64,35.39,7799.808,0.45,0,0,18
2026-01-30T03:46:42.366235,docker-compose-orders-1,orders,0.23,367.5,7799.808,4.71,0,0,84
2026-01-30T03:46:42.366235,docker-compose-catalogue-db-1,catalogue-db,0.1,195.9,7799.808,2.51,0,0,27
2026-01-30T03:46:42.366235,docker-compose-rabbitmq-1,rabbitmq,5.82,114.1,7799.808,1.46,0,0,417
2026-01-30T03:46:42.366235,docker-compose-queue-master-1,queue-master,0.2,657.7,7799.808,8.43,0,0,51
2026-01-30T03:46:42.366235,docker-compose-shipping-1,shipping,0.73,353.9,7799.808,4.54,0,0,82
2026-01-30T03:46:42.366235,docker-compose-payment-1,payment,0,9.855,7799.808,0.13,0,0,30
2026-01-30T03:46:42.366235,docker-compose-user-1,user,0,9.559,7799.808,0.12,0,0,30
2026-01-30T03:46:49.344465,docker-compose-edge-router-1,edge-router,0.05,7.059,7799.808,0.09,0,0,31
2026-01-30T03:46:49.344465,docker-compose-carts-1,carts,0.15,379.5,7799.808,4.86,0,0,84
2026-01-30T03:46:49.344465,docker-compose-catalogue-1,catalogue,0,9.75,7799.808,0.12,0,0,30
2026-01-30T03:46:49.344465,docker-compose-carts-db-1,carts-db,0.43,55.27,7799.808,0.71,0,0,21
2026-01-30T03:46:49.344465,docker-compose-orders-db-1,orders-db,0.43,32.23,7799.808,0.41,0,0,21
2026-01-30T03:46:49.344465,docker-compose-front-end-1,front-end,0,65.71,7799.808,0.84,0,0,21
2026-01-30T03:46:49.344465,docker-compose-user-db-1,user-db,0.55,35.39,7799.808,0.45,0,0,18
2026-01-30T03:46:49.344465,docker-compose-orders-1,orders,0.16,367.5,7799.808,4.71,0,0,84
2026-01-30T03:46:49.344465,docker-compose-catalogue-db-1,catalogue-db,0.08,195.9,7799.808,2.51,0,0,27
2026-01-30T03:46:49.344465,docker-compose-rabbitmq-1,rabbitmq,4.63,112.8,7799.808,1.45,0,0,417
2026-01-30T03:46:49.344465,docker-compose-queue-master-1,queue-master,0.13,657.7,7799.808,8.43,0,0,51
2026-01-30T03:46:49.344465,docker-compose-shipping-1,shipping,0.17,353.7,7799.808,4.53,0,0,82
2026-01-30T03:46:49.344465,docker-compose-payment-1,payment,0.2,9.855,7799.808,0.13,0,0,30
2026-01-30T03:46:49.344465,docker-compose-user-1,user,0,9.559,7799.808,0.12,0,0,30
2026-01-30T03:46:57.052261,docker-compose-edge-router-1,edge-router,0.02,7.059,7799.808,0.09,0,0,31
2026-01-30T03:46:57.052261,docker-compose-carts-1,carts,0.23,379.4,7799.808,4.86,0,0,84
2026-01-30T03:46:57.052261,docker-compose-catalogue-1,catalogue,0,9.75,7799.808,0.12,0,0,30
2026-01-30T03:46:57.052261,docker-compose-carts-db-1,carts-db,0.37,55.26,7799.808,0.71,0,0,21
2026-01-30T03:46:57.052261,docker-compose-orders-db-1,orders-db,0.34,32.23,7799.808,0.41,0,0,21
2026-01-30T03:46:57.052261,docker-compose-front-end-1,front-end,0,64.87,7799.808,0.83,0,0,21
2026-01-30T03:46:57.052261,docker-compose-user-db-1,user-db,0.47,35.39,7799.808,0.45,0,0,18
2026-01-30T03:46:57.052261,docker-compose-orders-1,orders,0.12,367.5,7799.808,4.71,0,0,84
2026-01-30T03:46:57.052261,docker-compose-catalogue-db-1,catalogue-db,0.07,195.9,7799.808,2.51,0,0,27
2026-01-30T03:46:57.052261,docker-compose-rabbitmq-1,rabbitmq,5.8,113.9,7799.808,1.46,0,0,417
2026-01-30T03:46:57.052261,docker-compose-queue-master-1,queue-master,0.13,657.7,7799.808,8.43,0,0,51
2026-01-30T03:46:57.052261,docker-compose-shipping-1,shipping,0.35,353.9,7799.808,4.54,0,0,82
2026-01-30T03:46:57.052261,docker-compose-payment-1,payment,0,9.855,7799.808,0.13,0,0,30
2026-01-30T03:46:57.052261,docker-compose-user-1,user,0.12,9.559,7799.808,0.12,0,0,30
2026-01-30T03:47:04.714107,docker-compose-edge-router-1,edge-router,0.03,7.059,7799.808,0.09,0,0,31
2026-01-30T03:47:04.714107,docker-compose-carts-1,carts,0.15,379.4,7799.808,4.86,0,0,84
2026-01-30T03:47:04.714107,docker-compose-catalogue-1,catalogue,0,9.754,7799.808,0.13,0,0,30
2026-01-30T03:47:04.714107,docker-compose-carts-db-1,carts-db,0.4,55.26,7799.808,0.71,0,0,21
2026-01-30T03:47:04.714107,docker-compose-orders-db-1,orders-db,0.41,31.98,7799.808,0.41,0,0,21
2026-01-30T03:47:04.714107,docker-compose-front-end-1,front-end,0.15,65.27,7799.808,0.84,0,0,21
2026-01-30T03:47:04.714107,docker-compose-user-db-1,user-db,0.54,35.64,7799.808,0.46,0,0,18
2026-01-30T03:47:04.714107,docker-compose-orders-1,orders,0.17,367.5,7799.808,4.71,0,0,84
2026-01-30T03:47:04.714107,docker-compose-catalogue-db-1,catalogue-db,0.09,195.9,7799.808,2.51,0,0,27
2026-01-30T03:47:04.714107,docker-compose-rabbitmq-1,rabbitmq,2.07,112.3,7799.808,1.44,0,0,417
2026-01-30T03:47:04.714107,docker-compose-queue-master-1,queue-master,0.13,657.7,7799.808,8.43,0,0,51
2026-01-30T03:47:04.714107,docker-compose-shipping-1,shipping,0.16,353.7,7799.808,4.53,0,0,82
2026-01-30T03:47:04.714107,docker-compose-payment-1,payment,0,9.859,7799.808,0.13,0,0,30
2026-01-30T03:47:04.714107,docker-compose-user-1,user,0,9.562,7799.808,0.12,0,0,30
2026-01-30T03:47:12.379763,docker-compose-edge-router-1,edge-router,0.05,7.059,7799.808,0.09,0,0,31
2026-01-30T03:47:12.379763,docker-compose-carts-1,carts,0.22,379.4,7799.808,4.86,0,0,84
2026-01-30T03:47:12.379763,docker-compose-catalogue-1,catalogue,0,10,7799.808,0.13,0,0,30
2026-01-30T03:47:12.379763,docker-compose-carts-db-1,carts-db,0.44,55.26,7799.808,0.71,0,0,21
2026-01-30T03:47:12.379763,docker-compose-orders-db-1,orders-db,0.45,32.48,7799.808,0.42,0,0,21
2026-01-30T03:47:12.379763,docker-compose-front-end-1,front-end,0,65.1,7799.808,0.83,0,0,21
